player_id,player_name,player_photo,player_type,player_injury_reason,team_id,team_name,team_logo,fixture_id,fixture_timezone,fixture_date,fixture_timestamp,league_id,league_season,league_name,league_country,league_logo,league_flag
2930,"""J. Butland""","""https:\/\/media-4.api-sports.io\/football\/players\/2930.png""","""Missing Fixture""","""Wrist Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18849,"""J. McArthur""","""https:\/\/media-4.api-sports.io\/football\/players\/18849.png""","""Missing Fixture""","""Groin Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19617,"""M. Olise""","""https:\/\/media-4.api-sports.io\/football\/players\/19617.png""","""Missing Fixture""","""Foot Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18844,"""J. Tomkins""","""https:\/\/media-4.api-sports.io\/football\/players\/18844.png""","""Missing Fixture""","""Muscle Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
1161,"""E. Smith Rowe""","""https:\/\/media-4.api-sports.io\/football\/players\/1161.png""","""Questionable""","""Muscle Injury""",42,"""Arsenal""","""https:\/\/media-4.api-sports.io\/football\/teams\/42.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
2597,"""T. Tomiyasu""","""https:\/\/media-4.api-sports.io\/football\/players\/2597.png""","""Questionable""","""Thigh Injury""",42,"""Arsenal""","""https:\/\/media-4.api-sports.io\/football\/teams\/42.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
41725,"""F. Vieira""","""https:\/\/media-4.api-sports.io\/football\/players\/41725.png""","""Questionable""","""Ankle Injury""",42,"""Arsenal""","""https:\/\/media-4.api-sports.io\/football\/teams\/42.png""",867946,"""UTC""","""2022-08-05T19:00:00+00:00""",1659726000,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18803,"""N. Chalobah""","""https:\/\/media-4.api-sports.io\/football\/players\/18803.png""","""Missing Fixture""","""Injury""",36,"""Fulham""","""https:\/\/media-4.api-sports.io\/football\/teams\/36.png""",867947,"""UTC""","""2022-08-06T11:30:00+00:00""",1659785400,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19221,"""H. Wilson""","""https:\/\/media-4.api-sports.io\/football\/players\/19221.png""","""Missing Fixture""","""Knee Injury""",36,"""Fulham""","""https:\/\/media-4.api-sports.io\/football\/teams\/36.png""",867947,"""UTC""","""2022-08-06T11:30:00+00:00""",1659785400,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
2678,"""Diogo Jota""","""https:\/\/media-4.api-sports.io\/football\/players\/2678.png""","""Missing Fixture""","""Muscle Injury""",40,"""Liverpool""","""https:\/\/media-4.api-sports.io\/football\/teams\/40.png""",867947,"""UTC""","""2022-08-06T11:30:00+00:00""",1659785400,39,2022,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
