player_id,player_name,player_photo,player_type,player_injury_reason,team_id,team_name,team_logo,fixture_id,fixture_timezone,fixture_date,fixture_timestamp,league_id,league_season,league_name,league_country,league_logo,league_flag
299,"""Fabinho""","""https:\/\/media-4.api-sports.io\/football\/players\/299.png""","""Questionable""","""Personal Reasons""",40,"""Liverpool""","""https:\/\/media-4.api-sports.io\/football\/teams\/40.png""",710571,"""UTC""","""2021-08-21T11:30:00+00:00""",1629545400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18915,"""K. Long""","""https:\/\/media-4.api-sports.io\/football\/players\/18915.png""","""Missing Fixture""","""Calf Injury""",44,"""Burnley""","""https:\/\/media-4.api-sports.io\/football\/teams\/44.png""",710571,"""UTC""","""2021-08-21T11:30:00+00:00""",1629545400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18977,"""D. Stephens""","""https:\/\/media-4.api-sports.io\/football\/players\/18977.png""","""Missing Fixture""","""Ankle Injury""",44,"""Burnley""","""https:\/\/media-4.api-sports.io\/football\/teams\/44.png""",710571,"""UTC""","""2021-08-21T11:30:00+00:00""",1629545400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
1914,"""M. Sanson""","""https:\/\/media-4.api-sports.io\/football\/players\/1914.png""","""Missing Fixture""","""Knee Injury""",66,"""Aston Villa""","""https:\/\/media-4.api-sports.io\/football\/teams\/66.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
671,"""B. Traore""","""https:\/\/media-4.api-sports.io\/football\/players\/671.png""","""Missing Fixture""","""Thigh Injury""",66,"""Aston Villa""","""https:\/\/media-4.api-sports.io\/football\/teams\/66.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
2664,"""Trezeguet""","""https:\/\/media-4.api-sports.io\/football\/players\/2664.png""","""Missing Fixture""","""Knee Injury""",66,"""Aston Villa""","""https:\/\/media-4.api-sports.io\/football\/teams\/66.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19366,"""O. Watkins""","""https:\/\/media-4.api-sports.io\/football\/players\/19366.png""","""Questionable""","""Knee Injury""",66,"""Aston Villa""","""https:\/\/media-4.api-sports.io\/football\/teams\/66.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
138908,"""E. Anderson""","""https:\/\/media-4.api-sports.io\/football\/players\/138908.png""","""Missing Fixture""","""Hip Injury""",34,"""Newcastle""","""https:\/\/media-4.api-sports.io\/football\/teams\/34.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18885,"""K. Darlow""","""https:\/\/media-4.api-sports.io\/football\/players\/18885.png""","""Missing Fixture""","""Knee Injury""",34,"""Newcastle""","""https:\/\/media-4.api-sports.io\/football\/teams\/34.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18886,"""M. Dubravka""","""https:\/\/media-4.api-sports.io\/football\/players\/18886.png""","""Missing Fixture""","""Leg Injury""",34,"""Newcastle""","""https:\/\/media-4.api-sports.io\/football\/teams\/34.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18892,"""P. Dummett""","""https:\/\/media-4.api-sports.io\/football\/players\/18892.png""","""Questionable""","""Calf Injury""",34,"""Newcastle""","""https:\/\/media-4.api-sports.io\/football\/teams\/34.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18904,"""J. Shelvey""","""https:\/\/media-4.api-sports.io\/football\/players\/18904.png""","""Questionable""","""Calf Injury""",34,"""Newcastle""","""https:\/\/media-4.api-sports.io\/football\/teams\/34.png""",710567,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19586,"""E. Eze""","""https:\/\/media-4.api-sports.io\/football\/players\/19586.png""","""Missing Fixture""","""Achilles Tendon Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
127605,"""N. Ferguson""","""https:\/\/media-4.api-sports.io\/football\/players\/127605.png""","""Missing Fixture""","""Achilles Tendon Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18852,"""L. Milivojevic""","""https:\/\/media-4.api-sports.io\/football\/players\/18852.png""","""Missing Fixture""","""Personal Reasons""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19617,"""M. Olise""","""https:\/\/media-4.api-sports.io\/football\/players\/19617.png""","""Missing Fixture""","""Back Injury""",52,"""Crystal Palace""","""https:\/\/media-4.api-sports.io\/football\/teams\/52.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
19362,"""J. Dasilva""","""https:\/\/media-4.api-sports.io\/football\/players\/19362.png""","""Missing Fixture""","""Hip Injury""",55,"""Brentford""","""https:\/\/media-4.api-sports.io\/football\/teams\/55.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
47438,"""M. Jensen""","""https:\/\/media-4.api-sports.io\/football\/players\/47438.png""","""Questionable""","""Personal Reasons""",55,"""Brentford""","""https:\/\/media-4.api-sports.io\/football\/teams\/55.png""",710569,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
47302,"""D. Llorente""","""https:\/\/media-4.api-sports.io\/football\/players\/47302.png""","""Questionable""","""Knee Injury""",63,"""Leeds""","""https:\/\/media-4.api-sports.io\/football\/teams\/63.png""",710570,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
18765,"""A. Gomes""","""https:\/\/media-4.api-sports.io\/football\/players\/18765.png""","""Missing Fixture""","""Knock""",45,"""Everton""","""https:\/\/media-4.api-sports.io\/football\/teams\/45.png""",710570,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
517,"""J. Rodriguez""","""https:\/\/media-4.api-sports.io\/football\/players\/517.png""","""Questionable""","""Illness""",45,"""Everton""","""https:\/\/media-4.api-sports.io\/football\/teams\/45.png""",710570,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
161948,"""L. Delap""","""https:\/\/media-4.api-sports.io\/football\/players\/161948.png""","""Missing Fixture""","""Injury""",50,"""Manchester City""","""https:\/\/media-4.api-sports.io\/football\/teams\/50.png""",710572,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
631,"""P. Foden""","""https:\/\/media-4.api-sports.io\/football\/players\/631.png""","""Missing Fixture""","""Foot Injury""",50,"""Manchester City""","""https:\/\/media-4.api-sports.io\/football\/teams\/50.png""",710572,"""UTC""","""2021-08-21T14:00:00+00:00""",1629554400,39,2021,"""Premier League""","""England""","""https:\/\/media-4.api-sports.io\/football\/leagues\/39.png""","""https:\/\/media-4.api-sports.io\/flags\/gb.svg""}"
